survey_id,asset_external_id,observed_at,gps_accuracy_m,review_status,notes
S-001,A-001,2026-08-01T09:00:00Z,9,pending,ملاحظة تدريبية 1
S-002,A-002,2026-08-02T09:00:00Z,13,rejected,ملاحظة تدريبية 2
S-003,A-003,2026-08-03T09:00:00Z,17,approved,ملاحظة تدريبية 3
S-004,A-004,2026-08-04T09:00:00Z,5,pending,ملاحظة تدريبية 4
S-005,A-005,2026-08-05T09:00:00Z,9,rejected,ملاحظة تدريبية 5
S-006,A-006,2026-08-06T09:00:00Z,13,approved,ملاحظة تدريبية 6
S-007,A-007,2026-08-07T09:00:00Z,17,pending,ملاحظة تدريبية 7
S-008,A-008,2026-08-08T09:00:00Z,5,rejected,ملاحظة تدريبية 8
S-009,A-009,2026-08-09T09:00:00Z,9,approved,ملاحظة تدريبية 9
S-010,A-010,2026-08-10T09:00:00Z,13,pending,ملاحظة تدريبية 10
S-011,A-011,2026-08-11T09:00:00Z,17,rejected,ملاحظة تدريبية 11
S-012,A-012,2026-08-12T09:00:00Z,5,approved,ملاحظة تدريبية 12
